gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,Churn,gender_enc,Dependents_enc,PhoneService_enc,MultipleLines_enc,InternetService_enc,Churn_enc,Contract_One year,Contract_Two year,tenure_scaled,MonthlyCharges_scaled,Segment_Label,Segment_0,Segment_1,Segment_2,Segment_3
Female,0,No,1,No,No,DSL,25,Yes,0,0,0,0,0,1,False,False,-1.2774445836787656,-1.3213496211870024,"New, Low-Spend",False,True,False,False
Male,0,No,41,Yes,No,DSL,25,No,1,0,1,0,0,0,True,False,0.3513699651224484,-1.3213496211870024,"Loyal, Low-Spend (Stable)",False,False,False,True
Female,0,Yes,52,Yes,No,DSL,19,No,0,1,1,0,0,0,False,False,0.7992939660427822,-1.5207546382825785,"Loyal, Low-Spend (Stable)",False,False,False,True
Female,0,No,1,Yes,No,DSL,76,Yes,0,0,1,0,0,1,True,False,-1.2774445836787656,0.3735930241253952,"New, High-Spend (At-Risk)",True,False,False,False
Male,0,No,67,Yes,No,Fiber optic,51,No,1,0,1,0,1,0,False,False,1.4100994218432374,-0.4572612137728389,"Loyal, Low-Spend (Stable)",False,False,False,True
Female,1,No,68,Yes,Yes,Fiber optic,90,Yes,0,0,1,1,1,1,False,False,1.4508197855632678,0.8388713973484064,"Loyal, High-Spend",False,False,True,False
Female,0,Yes,23,Yes,Yes,Fiber optic,77,No,0,1,1,1,1,0,False,False,-0.3815965818380978,0.4068271936413246,"New, High-Spend (At-Risk)",True,False,False,False
Male,0,Yes,72,Yes,No,DSL,72,No,1,1,1,0,0,0,False,False,1.6137012404433893,0.2406563460616778,"Loyal, High-Spend",False,False,True,False
Male,0,No,70,Yes,Yes,Fiber optic,104,Yes,1,0,1,1,1,1,False,False,1.5322605130033284,1.3041497705714176,"Loyal, High-Spend",False,False,True,False
Male,0,No,1,Yes,No,DSL,19,Yes,1,0,1,0,0,1,True,False,-1.2774445836787656,-1.5207546382825785,"New, Low-Spend",False,True,False,False
Male,0,No,1,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,-1.2774445836787656,-1.4875204687666492,"New, Low-Spend",False,True,False,False
Male,0,Yes,34,Yes,No,DSL,84,No,1,1,1,0,0,0,False,True,0.0663274190822359,0.6394663802528302,"New, High-Spend (At-Risk)",True,False,False,False
Male,1,Yes,28,Yes,Yes,Fiber optic,51,No,1,1,1,1,1,0,True,False,-0.1779947632379461,-0.4572612137728389,"New, Low-Spend",False,True,False,False
Female,1,No,18,Yes,Yes,Fiber optic,85,Yes,0,0,1,1,1,1,False,False,-0.5851984004382496,0.6727005497687596,"New, High-Spend (At-Risk)",True,False,False,False
Female,0,No,15,Yes,No,Fiber optic,20,No,0,0,1,0,1,0,False,False,-0.7073594915983407,-1.4875204687666492,"New, Low-Spend",False,True,False,False
Female,1,No,11,Yes,Yes,Fiber optic,95,Yes,0,0,1,1,1,1,False,True,-0.8702409464784621,1.0050422449280532,"New, High-Spend (At-Risk)",True,False,False,False
Male,0,No,11,Yes,No,DSL,54,Yes,1,0,1,0,0,1,True,False,-0.8702409464784621,-0.3575587052250508,"New, Low-Spend",False,True,False,False
Male,0,Yes,1,Yes,Yes,Fiber optic,70,Yes,1,1,1,1,1,1,False,True,-1.2774445836787656,0.174188007029819,"New, High-Spend (At-Risk)",True,False,False,False
Female,0,Yes,37,Yes,No,DSL,89,No,0,1,1,0,0,0,False,False,0.188488510242327,0.805637227832477,"Loyal, High-Spend",False,False,True,False
Male,0,Yes,22,Yes,No,Fiber optic,89,Yes,1,1,1,0,1,1,False,False,-0.4223169455581282,0.805637227832477,"New, High-Spend (At-Risk)",True,False,False,False
Female,0,No,1,Yes,No,DSL,70,No,0,0,1,0,0,0,False,False,-1.2774445836787656,0.174188007029819,"New, High-Spend (At-Risk)",True,False,False,False
Female,0,Yes,1,Yes,No,DSL,19,No,0,1,1,0,0,0,True,False,-1.2774445836787656,-1.5207546382825785,"New, Low-Spend",False,True,False,False
Male,0,Yes,46,Yes,No,DSL,80,No,1,1,1,0,0,0,False,False,0.5549717837226001,0.5065297021891128,"Loyal, High-Spend",False,False,True,False
Female,0,No,51,Yes,Yes,DSL,107,No,0,0,1,1,0,0,False,True,0.758573602322752,1.4038522791192056,"Loyal, High-Spend",False,False,True,False
Female,0,No,41,Yes,No,DSL,104,No,0,0,1,0,0,0,False,False,0.3513699651224484,1.3041497705714176,"Loyal, High-Spend",False,False,True,False
Female,0,No,5,Yes,No,DSL,68,Yes,0,0,1,0,0,1,False,False,-1.1145631287986442,0.1077196679979603,"New, High-Spend (At-Risk)",True,False,False,False
Female,0,No,45,Yes,Yes,Fiber optic,89,Yes,0,0,1,1,1,1,False,False,0.5142514200025698,0.805637227832477,"Loyal, High-Spend",False,False,True,False
Male,0,Yes,29,Yes,No,DSL,60,No,1,1,1,0,0,0,False,False,-0.1372743995179157,-0.1581536881294745,"New, High-Spend (At-Risk)",True,False,False,False
Female,1,No,15,Yes,Yes,DSL,92,No,0,0,1,1,0,0,False,True,-0.7073594915983407,0.9053397363802652,"New, High-Spend (At-Risk)",True,False,False,False
Male,0,No,72,No,No,DSL,64,No,1,0,0,0,0,0,False,False,1.6137012404433893,-0.0252170100657571,"Loyal, High-Spend",False,False,True,False
Male,0,No,50,Yes,Yes,Fiber optic,104,No,1,0,1,1,1,0,False,True,0.7178532386027215,1.3041497705714176,"Loyal, High-Spend",False,False,True,False
Male,0,Yes,27,Yes,No,Fiber optic,21,No,1,1,1,0,1,0,False,False,-0.2187151269579764,-1.45428629925072,"New, Low-Spend",False,True,False,False
Male,0,No,72,Yes,No,DSL,85,No,1,0,1,0,0,0,True,False,1.6137012404433893,0.6727005497687596,"Loyal, High-Spend",False,False,True,False
