gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,Churn,gender_enc,Dependents_enc,PhoneService_enc,MultipleLines_enc,InternetService_enc,Churn_enc,Contract_One year,Contract_Two year,tenure_scaled,MonthlyCharges_scaled
Female,0,No,1,No,No,DSL,25,Yes,0,0,0,0,0,1,False,False,-1.2774445836787656,-1.3213496211870024
Male,0,No,41,Yes,No,DSL,25,No,1,0,1,0,0,0,True,False,0.35136996512244845,-1.3213496211870024
Female,0,Yes,52,Yes,No,DSL,19,No,0,1,1,0,0,0,False,False,0.7992939660427822,-1.5207546382825785
Female,0,No,1,Yes,No,DSL,76,Yes,0,0,1,0,0,1,True,False,-1.2774445836787656,0.37359302412539525
Male,0,No,67,Yes,No,Fiber optic,51,No,1,0,1,0,1,0,False,False,1.4100994218432374,-0.4572612137728389
Female,1,No,68,Yes,Yes,Fiber optic,90,Yes,0,0,1,1,1,1,False,False,1.4508197855632678,0.8388713973484064
Female,0,Yes,23,Yes,Yes,Fiber optic,77,No,0,1,1,1,1,0,False,False,-0.38159658183809786,0.40682719364132464
Male,0,Yes,72,Yes,No,DSL,72,No,1,1,1,0,0,0,False,False,1.6137012404433893,0.2406563460616778
Male,0,No,70,Yes,Yes,Fiber optic,104,Yes,1,0,1,1,1,1,False,False,1.5322605130033284,1.3041497705714176
Male,0,No,1,Yes,No,DSL,19,Yes,1,0,1,0,0,1,True,False,-1.2774445836787656,-1.5207546382825785
Male,0,No,1,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,-1.2774445836787656,-1.4875204687666492
Male,0,Yes,34,Yes,No,DSL,84,No,1,1,1,0,0,0,False,True,0.06632741908223598,0.6394663802528302
Male,1,Yes,28,Yes,Yes,Fiber optic,51,No,1,1,1,1,1,0,True,False,-0.1779947632379461,-0.4572612137728389
Female,1,No,18,Yes,Yes,Fiber optic,85,Yes,0,0,1,1,1,1,False,False,-0.5851984004382496,0.6727005497687596
Female,0,No,15,Yes,No,Fiber optic,20,No,0,0,1,0,1,0,False,False,-0.7073594915983407,-1.4875204687666492
Female,1,No,11,Yes,Yes,Fiber optic,95,Yes,0,0,1,1,1,1,False,True,-0.8702409464784621,1.0050422449280532
Male,0,No,11,Yes,No,DSL,54,Yes,1,0,1,0,0,1,True,False,-0.8702409464784621,-0.3575587052250508
Male,0,Yes,1,Yes,Yes,Fiber optic,70,Yes,1,1,1,1,1,1,False,True,-1.2774445836787656,0.17418800702981907
Female,0,Yes,37,Yes,No,DSL,89,No,0,1,1,0,0,0,False,False,0.18848851024232702,0.805637227832477
Male,0,Yes,22,Yes,No,Fiber optic,89,Yes,1,1,1,0,1,1,False,False,-0.4223169455581282,0.805637227832477
Female,0,No,1,Yes,No,DSL,70,No,0,0,1,0,0,0,False,False,-1.2774445836787656,0.17418800702981907
Female,0,Yes,1,Yes,No,DSL,19,No,0,1,1,0,0,0,True,False,-1.2774445836787656,-1.5207546382825785
Male,0,Yes,46,Yes,No,DSL,80,No,1,1,1,0,0,0,False,False,0.5549717837226001,0.5065297021891128
Female,0,No,51,Yes,Yes,DSL,107,No,0,0,1,1,0,0,False,True,0.758573602322752,1.4038522791192056
Female,0,No,41,Yes,No,DSL,104,No,0,0,1,0,0,0,False,False,0.35136996512244845,1.3041497705714176
Female,0,No,5,Yes,No,DSL,68,Yes,0,0,1,0,0,1,False,False,-1.1145631287986442,0.10771966799796033
Female,0,No,45,Yes,Yes,Fiber optic,89,Yes,0,0,1,1,1,1,False,False,0.5142514200025698,0.805637227832477
Male,0,Yes,29,Yes,No,DSL,60,No,1,1,1,0,0,0,False,False,-0.13727439951791576,-0.15815368812947458
Female,1,No,15,Yes,Yes,DSL,92,No,0,0,1,1,0,0,False,True,-0.7073594915983407,0.9053397363802651
Male,0,No,72,No,No,DSL,64,No,1,0,0,0,0,0,False,False,1.6137012404433893,-0.025217010065757134
Male,0,No,50,Yes,Yes,Fiber optic,104,No,1,0,1,1,1,0,False,True,0.7178532386027215,1.3041497705714176
Male,0,Yes,27,Yes,No,Fiber optic,21,No,1,1,1,0,1,0,False,False,-0.21871512695797646,-1.45428629925072
Male,0,No,72,Yes,No,DSL,85,No,1,0,1,0,0,0,True,False,1.6137012404433893,0.6727005497687596
Female,0,Yes,51,Yes,No,DSL,70,No,0,1,1,0,0,0,False,False,0.758573602322752,0.17418800702981907
Female,0,No,60,Yes,No,DSL,94,No,0,0,1,0,0,0,False,False,1.125056875803025,0.9718080754121239
Male,0,No,17,Yes,Yes,Fiber optic,19,No,1,0,1,1,1,0,False,True,-0.62591876415828,-1.5207546382825785
Female,0,No,72,Yes,No,Fiber optic,21,No,0,0,1,0,1,0,False,False,1.6137012404433893,-1.45428629925072
Female,0,No,33,Yes,No,Fiber optic,104,Yes,0,0,1,0,1,1,False,False,0.025607055362205634,1.3041497705714176
Female,1,Yes,66,Yes,Yes,Fiber optic,105,No,0,1,1,1,1,0,False,False,1.369379058123207,1.3373839400873468
Female,0,Yes,69,Yes,Yes,Fiber optic,104,Yes,0,1,1,1,1,1,False,False,1.4915401492832983,1.3041497705714176
Male,0,No,5,Yes,No,DSL,70,Yes,1,0,1,0,0,1,True,False,-1.1145631287986442,0.17418800702981907
Female,0,No,57,Yes,Yes,DSL,101,No,0,0,1,1,0,0,False,True,1.002895784642934,1.2044472620236295
Female,1,No,8,Yes,No,DSL,76,Yes,0,0,1,0,0,1,True,False,-0.9924020376385531,0.37359302412539525
Female,0,No,14,Yes,Yes,DSL,51,No,0,0,1,1,0,0,False,True,-0.748079855318371,-0.4572612137728389
Male,0,No,25,Yes,Yes,DSL,95,Yes,1,0,1,1,0,1,False,False,-0.30015585439803716,1.0050422449280532
Female,0,Yes,52,Yes,Yes,Fiber optic,20,No,0,1,1,1,1,0,False,False,0.7992939660427822,-1.4875204687666492
Female,1,No,7,Yes,No,DSL,76,Yes,0,0,1,0,0,1,False,False,-1.0331224013585834,0.37359302412539525
Male,0,No,13,Yes,No,Fiber optic,80,Yes,1,0,1,0,1,1,False,False,-0.7888002190384014,0.5065297021891128
Female,1,No,15,Yes,Yes,DSL,90,Yes,0,0,1,1,0,1,False,True,-0.7073594915983407,0.8388713973484064
Male,0,No,22,Yes,Yes,DSL,55,Yes,1,0,1,1,0,1,False,True,-0.4223169455581282,-0.32432453570912145
Female,0,No,19,Yes,Yes,Fiber optic,20,No,0,0,1,1,1,0,False,False,-0.5444780367182193,-1.4875204687666492
Male,0,Yes,23,No,No,Fiber optic,30,No,1,1,0,0,1,0,False,False,-0.38159658183809786,-1.1551787736073555
Female,0,No,72,Yes,Yes,DSL,114,No,0,0,1,1,0,0,False,False,1.6137012404433893,1.6364914657307112
Male,1,No,72,Yes,Yes,Fiber optic,98,No,1,0,1,1,1,0,False,False,1.6137012404433893,1.1047447534758412
Female,0,Yes,59,Yes,No,DSL,97,No,0,1,1,0,0,0,True,False,1.0843365120829946,1.071510583959912
Female,0,Yes,70,Yes,Yes,Fiber optic,75,No,0,1,1,1,1,0,False,False,1.5322605130033284,0.3403588546094659
Male,0,Yes,70,Yes,Yes,Fiber optic,101,No,1,1,1,1,1,0,True,False,1.5322605130033284,1.2044472620236295
Male,0,Yes,9,Yes,Yes,Fiber optic,103,No,1,1,1,1,1,0,True,False,-0.9516816739185228,1.270915601055488
Female,0,No,3,Yes,Yes,DSL,25,No,0,0,1,1,0,0,False,True,-1.1960038562387048,-1.3213496211870024
Male,1,No,17,Yes,Yes,Fiber optic,102,No,1,0,1,1,1,0,False,True,-0.62591876415828,1.2376814315395588
Female,0,Yes,28,Yes,Yes,Fiber optic,70,No,0,1,1,1,1,0,False,False,-0.1779947632379461,0.17418800702981907
Female,0,No,10,Yes,Yes,Fiber optic,54,No,0,0,1,1,1,0,False,False,-0.9109613101984924,-0.3575587052250508
Male,0,Yes,11,Yes,No,DSL,21,No,1,1,1,0,0,0,False,True,-0.8702409464784621,-1.45428629925072
Male,1,No,72,Yes,No,DSL,103,No,1,0,1,0,0,0,True,False,1.6137012404433893,1.270915601055488
Male,0,No,8,Yes,Yes,Fiber optic,70,Yes,1,0,1,1,1,1,False,False,-0.9924020376385531,0.17418800702981907
Male,1,No,69,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,1.4915401492832983,-1.4875204687666492
Female,0,Yes,39,Yes,Yes,Fiber optic,20,No,0,1,1,1,1,0,True,False,0.26992923768238775,-1.4875204687666492
